timestamp,load_MW,temperature,humidity,cloudcover,uvindex,hour_of_day,day_of_week,holiday
2017-05-31 23:00:00-04:00,14483.300000000001,65.42,0.87,0.35,0,23,Wednesday,False
2017-06-01 00:00:00-04:00,14354.000000000002,64.42,0.87,0.64,0,00,Thursday,False
2017-06-01 01:00:00-04:00,13541.300000000001,63.61,0.82,0.7,0,01,Thursday,False
2017-06-01 02:00:00-04:00,13034.3,62.32,0.82,0.29,0,02,Thursday,False
2017-06-01 03:00:00-04:00,12766.000000000002,61.31,0.85,0.64,0,03,Thursday,False
2017-06-01 04:00:00-04:00,13080.000000000002,60.53,0.88,0.75,0,04,Thursday,False
2017-06-01 05:00:00-04:00,14024.499999999998,59.72,0.9,0.76,0,05,Thursday,False
2017-06-01 06:00:00-04:00,15836.1,59.22,0.91,0.22,0,06,Thursday,False
2017-06-01 07:00:00-04:00,16897.8,60.42,0.91,0.36,0,07,Thursday,False
2017-06-01 08:00:00-04:00,17614.4,61.68,0.92,0.78,1,08,Thursday,False
2017-06-01 09:00:00-04:00,18118.1,63.95,0.89,0.78,3,09,Thursday,False
2017-06-01 10:00:00-04:00,18547.0,68.76,0.74,0.73,4,10,Thursday,False
2017-06-01 11:00:00-04:00,18875.4,72.86,0.62,0.23,7,11,Thursday,False
2017-06-01 12:00:00-04:00,19084.399999999998,75.71,0.53,0.24,8,12,Thursday,False
2017-06-01 13:00:00-04:00,19272.1,76.9,0.43,0.69,6,13,Thursday,False
2017-06-01 14:00:00-04:00,19233.9,78.29,0.39,0.49,7,14,Thursday,False
2017-06-01 15:00:00-04:00,19471.800000000003,78.81,0.37,0.62,6,15,Thursday,False
2017-06-01 16:00:00-04:00,19529.3,79.2,0.35,0.44,5,16,Thursday,False
2017-06-01 17:00:00-04:00,19557.3,78.75,0.35,0.56,3,17,Thursday,False
2017-06-01 18:00:00-04:00,19297.100000000002,78.11,0.36,0.27,1,18,Thursday,False
2017-06-01 19:00:00-04:00,18834.899999999998,76.23,0.37,0.31,0,19,Thursday,False
2017-06-01 20:00:00-04:00,18600.100000000002,74.48,0.38,0.13,0,20,Thursday,False
2017-06-01 21:00:00-04:00,18474.1,71.54,0.43,0.07,0,21,Thursday,False
2017-06-01 22:00:00-04:00,17354.7,69.74,0.46,0.0,0,22,Thursday,False
2017-06-01 23:00:00-04:00,15934.6,68.11,0.49,0.0,0,23,Thursday,False
2017-06-02 00:00:00-04:00,14657.9,67.33,0.51,0.04,0,00,Friday,False
2017-06-02 01:00:00-04:00,13712.699999999999,66.31,0.51,0.09,0,01,Friday,False
2017-06-02 02:00:00-04:00,13098.999999999998,63.77,0.57,0.0,0,02,Friday,False
2017-06-02 03:00:00-04:00,12766.5,61.35,0.6,0.05,0,03,Friday,False
2017-06-02 04:00:00-04:00,13047.5,58.1,0.67,0.0,0,04,Friday,False
2017-06-02 05:00:00-04:00,13862.9,56.32,0.68,0.0,0,05,Friday,False
2017-06-02 06:00:00-04:00,15649.400000000001,55.46,0.71,0.0,0,06,Friday,False
2017-06-02 07:00:00-04:00,16821.100000000002,59.34,0.65,0.0,1,07,Friday,False
2017-06-02 08:00:00-04:00,17432.399999999998,62.6,0.57,0.0,2,08,Friday,False
2017-06-02 09:00:00-04:00,17819.699999999997,65.54,0.51,0.05,4,09,Friday,False
2017-06-02 10:00:00-04:00,18121.7,68.11,0.48,0.11,6,10,Friday,False
2017-06-02 11:00:00-04:00,18279.8,70.31,0.44,0.12,8,11,Friday,False
2017-06-02 12:00:00-04:00,18352.2,73.11,0.41,0.38,8,12,Friday,False
2017-06-02 13:00:00-04:00,18532.399999999998,73.82,0.4,0.41,8,13,Friday,False
2017-06-02 14:00:00-04:00,18543.8,73.72,0.38,0.42,7,14,Friday,False
2017-06-02 15:00:00-04:00,18532.399999999994,74.27,0.35,0.69,5,15,Friday,False
2017-06-02 16:00:00-04:00,18492.3,74.59,0.31,0.65,4,16,Friday,False
2017-06-02 17:00:00-04:00,18421.4,75.2,0.3,0.42,3,17,Friday,False
2017-06-02 18:00:00-04:00,18106.2,74.86,0.29,0.03,1,18,Friday,False
2017-06-02 19:00:00-04:00,17683.0,73.36,0.32,0.02,0,19,Friday,False
