timestamp,load_MW,temperature,humidity,cloudcover,uvindex,hour_of_day,day_of_week,holiday
2015-12-31 23:00:00-05:00,15654.7,42.61,0.63,0.95,0,23,Thursday,False
2016-01-01 00:00:00-05:00,15582.900000000001,42.0,0.63,1.0,0,00,Friday,True
2016-01-01 01:00:00-05:00,14820.8,41.81,0.63,1.0,0,01,Friday,True
2016-01-01 02:00:00-05:00,14242.1,41.29,0.63,0.97,0,02,Friday,True
2016-01-01 03:00:00-05:00,13763.4,40.93,0.64,0.98,0,03,Friday,True
2016-01-01 04:00:00-05:00,13565.599999999999,40.67,0.66,1.0,0,04,Friday,True
2016-01-01 05:00:00-05:00,13818.699999999999,40.21,0.66,0.96,0,05,Friday,True
2016-01-01 06:00:00-05:00,14250.9,39.83,0.65,0.98,0,06,Friday,True
2016-01-01 07:00:00-05:00,14536.600000000002,39.45,0.66,0.79,0,07,Friday,True
2016-01-01 08:00:00-05:00,15127.7,38.79,0.66,0.94,0,08,Friday,True
2016-01-01 09:00:00-05:00,15808.499999999998,39.16,0.65,0.81,0,09,Friday,True
2016-01-01 10:00:00-05:00,16370.300000000001,39.77,0.63,0.97,1,10,Friday,True
2016-01-01 11:00:00-05:00,16707.7,40.4,0.6,0.97,1,11,Friday,True
2016-01-01 12:00:00-05:00,16901.0,40.94,0.59,0.88,1,12,Friday,True
2016-01-01 13:00:00-05:00,16986.7,40.68,0.59,0.97,1,13,Friday,True
2016-01-01 14:00:00-05:00,17136.8,40.3,0.59,1.0,1,14,Friday,True
2016-01-01 15:00:00-05:00,17398.399999999998,39.46,0.58,0.82,0,15,Friday,True
2016-01-01 16:00:00-05:00,18684.300000000003,39.07,0.55,0.87,0,16,Friday,True
2016-01-01 17:00:00-05:00,19184.399999999998,38.47,0.56,0.3,0,17,Friday,True
2016-01-01 18:00:00-05:00,19209.200000000004,38.15,0.56,0.27,0,18,Friday,True
2016-01-01 19:00:00-05:00,19003.0,37.84,0.57,0.32,0,19,Friday,True
2016-01-01 20:00:00-05:00,18691.8,36.81,0.57,0.04,0,20,Friday,True
2016-01-01 21:00:00-05:00,18235.899999999998,35.99,0.59,0.0,0,21,Friday,True
2016-01-01 22:00:00-05:00,17474.7,35.52,0.59,0.0,0,22,Friday,True
2016-01-01 23:00:00-05:00,16530.3,34.72,0.58,0.09,0,23,Friday,True
2016-01-02 00:00:00-05:00,15548.7,34.52,0.56,0.16,0,00,Saturday,False
2016-01-02 01:00:00-05:00,14695.7,34.46,0.54,0.51,0,01,Saturday,False
2016-01-02 02:00:00-05:00,14233.4,34.01,0.57,0.18,0,02,Saturday,False
2016-01-02 03:00:00-05:00,13976.7,34.1,0.57,0.19,0,03,Saturday,False
2016-01-02 04:00:00-05:00,14054.2,33.64,0.59,0.17,0,04,Saturday,False
2016-01-02 05:00:00-05:00,14387.7,33.48,0.58,0.24,0,05,Saturday,False
2016-01-02 06:00:00-05:00,15163.7,32.79,0.62,0.1,0,06,Saturday,False
2016-01-02 07:00:00-05:00,15791.900000000001,32.52,0.62,0.42,0,07,Saturday,False
2016-01-02 08:00:00-05:00,16499.5,33.35,0.6,0.84,0,08,Saturday,False
2016-01-02 09:00:00-05:00,17203.300000000003,34.37,0.59,0.87,0,09,Saturday,False
2016-01-02 10:00:00-05:00,17565.5,35.58,0.56,0.86,1,10,Saturday,False
2016-01-02 11:00:00-05:00,17670.3,36.72,0.54,0.88,1,11,Saturday,False
2016-01-02 12:00:00-05:00,17666.8,37.96,0.52,0.6,2,12,Saturday,False
2016-01-02 13:00:00-05:00,17581.7,38.84,0.51,0.48,1,13,Saturday,False
2016-01-02 14:00:00-05:00,17545.399999999998,39.36,0.5,0.38,1,14,Saturday,False
2016-01-02 15:00:00-05:00,17829.8,39.87,0.5,0.57,0,15,Saturday,False
2016-01-02 16:00:00-05:00,19319.6,39.68,0.51,0.8,0,16,Saturday,False
2016-01-02 17:00:00-05:00,19675.8,38.8,0.52,0.78,0,17,Saturday,False
2016-01-02 18:00:00-05:00,19662.9,37.45,0.52,0.55,0,18,Saturday,False
2016-01-02 19:00:00-05:00,19333.0,36.46,0.54,0.09,0,19,Saturday,False
2016-01-02 20:00:00-05:00,18968.2,35.3,0.57,0.08,0,20,Saturday,False
2016-01-02 21:00:00-05:00,18514.899999999998,34.37,0.61,0.0,0,21,Saturday,False
2016-01-02 22:00:00-05:00,17752.3,33.59,0.63,0.0,0,22,Saturday,False
2016-01-02 23:00:00-05:00,16797.6,32.55,0.67,0.0,0,23,Saturday,False
2016-01-03 00:00:00-05:00,15818.999999999998,33.55,0.66,0.0,0,00,Sunday,False
2016-01-03 01:00:00-05:00,14888.8,33.02,0.69,0.0,0,01,Sunday,False
2016-01-03 02:00:00-05:00,14304.000000000002,32.86,0.7,0.25,0,02,Sunday,False
2016-01-03 03:00:00-05:00,14028.8,32.95,0.68,0.0,0,03,Sunday,False
2016-01-03 04:00:00-05:00,14028.900000000001,33.49,0.68,0.04,0,04,Sunday,False
2016-01-03 05:00:00-05:00,14302.199999999999,33.25,0.7,0.01,0,05,Sunday,False
2016-01-03 06:00:00-05:00,14805.9,33.54,0.69,0.0,0,06,Sunday,False
2016-01-03 07:00:00-05:00,15263.2,33.71,0.69,0.0,0,07,Sunday,False
2016-01-03 08:00:00-05:00,15971.499999999998,35.53,0.64,0.01,0,08,Sunday,False
2016-01-03 09:00:00-05:00,16505.1,38.2,0.6,0.01,0,09,Sunday,False
2016-01-03 10:00:00-05:00,16940.8,41.31,0.54,0.04,1,10,Sunday,False
2016-01-03 11:00:00-05:00,17208.9,44.26,0.48,0.07,2,11,Sunday,False
2016-01-03 12:00:00-05:00,17318.7,45.35,0.44,0.1,2,12,Sunday,False
2016-01-03 13:00:00-05:00,17322.1,45.43,0.45,0.24,2,13,Sunday,False
2016-01-03 14:00:00-05:00,17380.3,44.83,0.47,0.31,1,14,Sunday,False
2016-01-03 15:00:00-05:00,17687.6,43.37,0.5,0.57,0,15,Sunday,False
2016-01-03 16:00:00-05:00,19300.500000000004,42.24,0.5,0.41,0,16,Sunday,False
2016-01-03 17:00:00-05:00,19901.0,41.34,0.52,0.74,0,17,Sunday,False
2016-01-03 18:00:00-05:00,19884.3,40.44,0.54,0.55,0,18,Sunday,False
2016-01-03 19:00:00-05:00,19648.699999999997,39.47,0.56,0.08,0,19,Sunday,False
2016-01-03 20:00:00-05:00,19369.699999999997,38.36,0.6,0.04,0,20,Sunday,False
2016-01-03 21:00:00-05:00,18538.299999999996,37.08,0.63,0.1,0,21,Sunday,False
2016-01-03 22:00:00-05:00,17550.6,36.25,0.65,0.03,0,22,Sunday,False
2016-01-03 23:00:00-05:00,16317.699999999999,35.69,0.68,0.17,0,23,Sunday,False
2016-01-04 00:00:00-05:00,15328.2,35.12,0.7,0.16,0,00,Monday,False
2016-01-04 01:00:00-05:00,14776.4,35.15,0.7,0.23,0,01,Monday,False
2016-01-04 02:00:00-05:00,14459.9,35.41,0.66,0.84,0,02,Monday,False
2016-01-04 03:00:00-05:00,14379.499999999998,34.95,0.61,0.75,0,03,Monday,False
2016-01-04 04:00:00-05:00,14987.9,34.15,0.58,0.87,0,04,Monday,False
2016-01-04 05:00:00-05:00,16466.5,33.14,0.55,0.87,0,05,Monday,False
2016-01-04 06:00:00-05:00,18432.5,31.33,0.59,0.36,0,06,Monday,False
2016-01-04 07:00:00-05:00,19317.899999999998,30.26,0.6,0.68,0,07,Monday,False
2016-01-04 08:00:00-05:00,19879.8,29.4,0.59,0.83,0,08,Monday,False
2016-01-04 09:00:00-05:00,20234.699999999997,29.06,0.59,0.86,0,09,Monday,False
2016-01-04 10:00:00-05:00,20336.199999999997,29.22,0.51,0.33,1,10,Monday,False
2016-01-04 11:00:00-05:00,20389.6,29.73,0.47,0.09,2,11,Monday,False
2016-01-04 12:00:00-05:00,20388.5,29.68,0.43,0.09,2,12,Monday,False
2016-01-04 13:00:00-05:00,20446.7,30.12,0.37,0.09,2,13,Monday,False
2016-01-04 14:00:00-05:00,20505.2,29.48,0.36,0.09,1,14,Monday,False
2016-01-04 15:00:00-05:00,20964.0,28.31,0.37,0.03,0,15,Monday,False
2016-01-04 16:00:00-05:00,22533.4,26.44,0.42,0.09,0,16,Monday,False
2016-01-04 17:00:00-05:00,23312.1,23.55,0.46,0.12,0,17,Monday,False
2016-01-04 18:00:00-05:00,23247.3,21.94,0.47,0.04,0,18,Monday,False
2016-01-04 19:00:00-05:00,23018.6,20.36,0.49,0.18,0,19,Monday,False
2016-01-04 20:00:00-05:00,22511.199999999997,18.63,0.53,0.54,0,20,Monday,False
2016-01-04 21:00:00-05:00,21705.6,17.05,0.54,0.22,0,21,Monday,False
2016-01-04 22:00:00-05:00,20456.5,15.5,0.57,0.09,0,22,Monday,False
2016-01-04 23:00:00-05:00,19068.0,15.0,0.56,0.17,0,23,Monday,False
2016-01-05 00:00:00-05:00,17812.9,14.31,0.57,0.81,0,00,Tuesday,False
2016-01-05 01:00:00-05:00,17230.0,13.55,0.6,0.04,0,01,Tuesday,False
2016-01-05 02:00:00-05:00,16817.7,13.1,0.61,0.0,0,02,Tuesday,False
2016-01-05 03:00:00-05:00,16726.3,12.59,0.61,0.0,0,03,Tuesday,False
2016-01-05 04:00:00-05:00,17267.399999999998,12.43,0.61,0.0,0,04,Tuesday,False
2016-01-05 05:00:00-05:00,18599.900000000005,11.99,0.63,0.0,0,05,Tuesday,False
2016-01-05 06:00:00-05:00,20540.800000000003,11.34,0.62,0.0,0,06,Tuesday,False
2016-01-05 07:00:00-05:00,21161.0,11.42,0.62,0.0,0,07,Tuesday,False
2016-01-05 08:00:00-05:00,21376.1,12.2,0.59,0.0,0,08,Tuesday,False
2016-01-05 09:00:00-05:00,21554.800000000003,14.26,0.56,0.0,0,09,Tuesday,False
2016-01-05 10:00:00-05:00,21625.3,17.19,0.51,0.0,1,10,Tuesday,False
2016-01-05 11:00:00-05:00,21509.899999999998,20.0,0.43,0.0,2,11,Tuesday,False
2016-01-05 12:00:00-05:00,21246.0,23.01,0.37,0.0,2,12,Tuesday,False
2016-01-05 13:00:00-05:00,21112.4,25.25,0.33,0.0,2,13,Tuesday,False
2016-01-05 14:00:00-05:00,20910.1,27.19,0.32,0.0,1,14,Tuesday,False
2016-01-05 15:00:00-05:00,21137.0,28.59,0.29,0.0,0,15,Tuesday,False
