timestamp,temperature,day_Saturday,day_Sunday,holiday_1.0,peak_day,load (t-1)
2014-07-14,83.18,0,0,0,0.0,22884.700000000004
2014-07-15,83.57,0,0,0,0.0,26743.9
2014-07-16,80.99,0,0,0,0.0,26345.6
2014-07-17,79.74,0,0,0,0.0,23963.7
2014-07-18,81.07,0,0,0,0.0,23159.4
2014-07-19,76.22,1,0,0,0.0,23367.1
2014-07-20,76.98,0,1,0,0.0,19916.2
2014-07-21,83.28,0,0,0,0.0,20787.4
2014-07-22,86.11,0,0,0,0.0,26135.6
2014-07-23,88.53,0,0,0,0.0,28582.7
2014-07-24,79.98,0,0,0,0.0,28904.2
2014-07-25,81.66,0,0,0,0.0,24411.7
2014-07-26,79.58,1,0,0,0.0,23962.4
2014-07-27,86.08,0,1,0,0.0,21142.7
2014-07-28,82.12,0,0,0,0.0,24249.700000000004
2014-07-29,75.38,0,0,0,0.0,24951.6
2014-07-30,79.03,0,0,0,0.0,21966.3
2014-07-31,81.75,0,0,0,0.0,22502.5
2014-08-01,82.78,0,0,0,0.0,23612.5
2014-08-02,73.17,1,0,0,0.0,25172.700000000004
2014-08-03,75.12,0,1,0,0.0,20631.8
2014-08-04,82.55,0,0,0,0.0,20167.9
2014-08-05,87.28,0,0,0,0.0,25711.9
2014-08-06,82.85,0,0,0,0.0,26577.1
2014-08-07,81.85,0,0,0,0.0,24968.9
2014-08-08,81.22,0,0,0,0.0,23849.1
2014-08-09,84.16,1,0,0,0.0,23321.2
2014-08-10,85.94,0,1,0,0.0,21882.3
2014-08-11,84.72,0,0,0,0.0,22917.8
2014-08-12,77.98,0,0,0,0.0,26170.4
2014-08-13,81.74,0,0,0,0.0,24058.3
2014-08-14,77.25,0,0,0,0.0,24096.700000000004
2014-08-15,71.65,0,0,0,0.0,21719.2
2014-08-16,78.21,1,0,0,0.0,20477.9
2014-08-17,81.14,0,1,0,0.0,18892.6
2014-08-18,80.37,0,0,0,0.0,19958.800000000007
2014-08-19,80.1,0,0,0,0.0,22712.300000000007
2014-08-20,81.98,0,0,0,0.0,23335.7
2014-08-21,79.06,0,0,0,0.0,24816.2
2014-08-22,74.97,0,0,0,0.0,24555.1
2014-08-23,72.84,1,0,0,0.0,23084.0
2014-08-24,78.1,0,1,0,0.0,19334.6
2014-08-25,85.92,0,0,0,0.0,20297.9
2014-08-26,85.53,0,0,0,0.0,25480.800000000007
2014-08-27,89.31,0,0,0,0.0,26866.4
2014-08-28,79.49,0,0,0,0.0,27327.5
2014-08-29,77.48,0,0,0,0.0,23636.700000000004
2014-08-30,76.97,1,0,0,0.0,22015.5
2014-08-31,88.93,0,1,0,0.0,20517.0
2014-09-01,86.67,0,0,1,0.0,23111.9
2014-09-02,90.99,0,0,0,1.0,25599.0
2014-09-03,84.07,0,0,0,0.0,29821.700000000004
2014-09-04,85.95,0,0,0,0.0,26286.5
2014-09-05,84.35,0,0,0,0.0,27054.4
2014-09-06,90.15,1,0,0,0.0,28931.4
2014-09-07,78.86,0,1,0,0.0,25763.4
2014-09-08,74.54,0,0,0,0.0,20737.700000000004
2014-09-09,71.89,0,0,0,0.0,21985.1
2014-09-10,75.65,0,0,0,0.0,21188.800000000007
2014-09-11,81.6,0,0,0,0.0,22200.7
2014-09-12,75.93,0,0,0,0.0,23164.6
2014-09-13,67.53,1,0,0,0.0,20727.9
2014-09-14,69.36,0,1,0,0.0,18096.599999999995
2015-06-16,75.63,0,0,0,0.0,24190.6
2015-06-17,78.09,0,0,0,0.0,23526.6
2015-06-18,68.89,0,0,0,0.0,22770.8
2015-06-19,84.75,0,0,0,0.0,21765.200000000004
2015-06-20,73.31,1,0,0,0.0,24063.1
2015-06-21,88.09,0,1,0,0.0,18824.4
2015-06-22,87.63,0,0,0,0.0,23380.300000000007
2015-06-23,88.97,0,0,0,0.0,26595.3
2015-06-24,82.82,0,0,0,0.0,28222.4
2015-06-25,82.27,0,0,0,0.0,24949.5
2015-06-26,78.75,0,0,0,0.0,24060.9
2015-06-27,69.44,1,0,0,0.0,23506.6
2015-06-28,72.0,0,1,0,0.0,18541.0
2015-06-29,76.91,0,0,0,0.0,17993.100000000002
2015-06-30,81.18,0,0,0,0.0,20970.9
2015-07-01,82.65,0,0,0,0.0,22783.000000000004
2015-07-02,79.27,0,0,0,0.0,23871.0
2015-07-03,80.83,0,0,1,0.0,22452.800000000007
2015-07-04,75.16,1,0,1,0.0,20730.7
2015-07-05,83.15,0,1,0,0.0,18309.7
2015-07-06,81.59,0,0,0,0.0,21428.2
2015-07-07,85.9,0,0,0,0.0,25691.4
2015-07-08,86.83,0,0,0,0.0,28214.6
2015-07-09,76.49,0,0,0,0.0,26779.6
2015-07-10,83.23,0,0,0,0.0,23026.500000000004
2015-07-11,85.53,1,0,0,0.0,24525.2
2015-07-12,87.2,0,1,0,0.0,23251.4
2015-07-13,84.55,0,0,0,0.0,23996.8
2015-07-14,78.45,0,0,0,0.0,27820.9
2015-07-15,79.91,0,0,0,0.0,25534.4
2015-07-16,78.6,0,0,0,0.0,23982.1
2015-07-17,79.31,0,0,0,0.0,22805.2
2015-07-18,84.54,1,0,0,0.0,23154.800000000007
2015-07-19,92.94,0,1,0,0.0,24519.6
2015-07-20,92.58,0,0,0,1.0,27831.8
2015-07-21,87.77,0,0,0,0.0,30733.2
2015-07-22,82.62,0,0,0,0.0,27985.8
2015-07-23,82.44,0,0,0,0.0,24998.9
2015-07-24,83.19,0,0,0,0.0,24713.099999999995
2015-07-25,84.27,1,0,0,0.0,24652.7
2015-07-26,86.96,0,1,0,0.0,23069.1
2015-07-27,83.64,0,0,0,0.0,24521.9
2015-07-28,91.26,0,0,0,0.0,28464.2
2015-07-29,93.18,0,0,0,1.0,30531.7
2015-07-30,85.22,0,0,0,0.0,31204.500000000004
2015-07-31,88.62,0,0,0,0.0,28908.2
2015-08-01,88.02,1,0,0,0.0,27696.9
2015-08-02,86.77,0,1,0,0.0,24243.800000000007
2015-08-03,90.33,0,0,0,0.0,24395.9
2015-08-04,89.45,0,0,0,0.0,28371.0
2015-08-05,86.05,0,0,0,0.0,27654.3
2015-08-06,81.58,0,0,0,0.0,25798.5
2015-08-07,81.75,0,0,0,0.0,24147.8
2015-08-08,80.55,1,0,0,0.0,24161.4
2015-08-09,82.28,0,1,0,0.0,21036.5
2015-08-10,80.41,0,0,0,0.0,21945.7
2015-08-11,78.8,0,0,0,0.0,25141.4
2015-08-12,83.69,0,0,0,0.0,24654.1
2015-08-13,82.11,0,0,0,0.0,25028.6
2015-08-14,86.79,0,0,0,0.0,24417.5
2015-08-15,91.01,1,0,0,0.0,25809.4
2015-08-16,90.2,0,1,0,0.0,25383.4
2015-08-17,92.01,0,0,0,0.0,25958.4
2015-08-18,89.27,0,0,0,0.0,30644.1
2015-08-19,85.05,0,0,0,0.0,29673.6
2015-08-20,84.49,0,0,0,0.0,29590.4
2015-08-21,85.37,0,0,0,0.0,28701.9
2015-08-22,82.47,1,0,0,0.0,25540.8
2015-08-23,81.92,0,1,0,0.0,22063.0
2015-08-24,84.87,0,0,0,0.0,22939.8
2015-08-25,86.6,0,0,0,0.0,26592.300000000007
2015-08-26,81.35,0,0,0,0.0,27111.000000000004
2015-08-27,78.49,0,0,0,0.0,23888.500000000004
2015-08-28,79.4,0,0,0,0.0,22473.800000000007
2015-08-29,83.52,1,0,0,0.0,22744.2
2015-08-30,87.35,0,1,0,0.0,21674.2
2015-08-31,89.7,0,0,0,0.0,23547.4
2015-09-01,86.21,0,0,0,0.0,28707.5
2015-09-02,87.94,0,0,0,0.0,28503.8
2015-09-03,90.85,0,0,0,0.0,29103.6
2015-09-04,81.0,0,0,0,0.0,29491.4
2015-09-05,79.71,1,0,0,0.0,26723.4
2015-09-06,83.07,0,1,0,0.0,22955.4
2015-09-07,89.65,0,0,1,0.0,22779.3
2015-09-08,93.88,0,0,0,1.0,26375.6
2015-09-09,88.46,0,0,0,0.0,31160.999999999996
2015-09-10,77.79,0,0,0,0.0,29511.7
2015-09-11,79.67,0,0,0,0.0,24056.8
2015-09-12,76.83,1,0,0,0.0,23438.6
2015-09-13,77.29,0,1,0,0.0,20447.4
2015-09-14,74.3,0,0,0,0.0,19893.1
2016-06-16,72.98,0,0,0,0.0,23051.2
2016-06-17,75.24,0,0,0,0.0,22373.400000000005
2016-06-18,84.32,1,0,0,0.0,22469.500000000004
2016-06-19,84.99,0,1,0,0.0,21786.3
2016-06-20,82.4,0,0,0,0.0,22247.9
2016-06-21,86.93,0,0,0,0.0,26347.9
2016-06-22,84.63,0,0,0,0.0,25469.300000000007
2016-06-23,81.54,0,0,0,0.0,24217.9
2016-06-24,80.59,0,0,0,0.0,23576.5
2016-06-25,82.27,1,0,0,0.0,23999.1
2016-06-26,83.58,0,1,0,0.0,22511.0
2016-06-27,82.47,0,0,0,0.0,23474.200000000004
2016-06-28,74.91,0,0,0,0.0,25620.2
2016-06-29,83.11,0,0,0,0.0,23541.599999999995
2016-06-30,84.22,0,0,0,0.0,24732.500000000004
2016-07-01,78.95,0,0,0,0.0,24945.1
2016-07-02,76.34,1,0,0,0.0,23638.8
2016-07-03,79.21,0,1,0,0.0,19049.9
2016-07-04,82.78,0,0,1,0.0,19233.2
2016-07-05,87.29,0,0,0,0.0,21402.1
2016-07-06,90.96,0,0,0,0.0,27690.5
2016-07-07,90.06,0,0,0,0.0,29787.8
2016-07-08,85.18,0,0,0,0.0,29440.5
2016-07-09,70.32,1,0,0,0.0,27589.6
2016-07-10,79.74,0,1,0,0.0,20469.1
2016-07-11,80.28,0,0,0,0.0,21038.8
2016-07-12,82.34,0,0,0,0.0,24044.6
2016-07-13,83.38,0,0,0,0.0,26353.8
2016-07-14,88.37,0,0,0,0.0,28049.2
2016-07-15,89.69,0,0,0,0.0,29207.3
2016-07-16,89.36,1,0,0,0.0,29266.8
2016-07-17,89.52,0,1,0,0.0,25430.0
2016-07-18,92.38,0,0,0,0.0,26051.800000000007
2016-07-19,82.88,0,0,0,0.0,29854.3
2016-07-20,82.61,0,0,0,0.0,25370.7
2016-07-21,87.78,0,0,0,0.0,25492.1
2016-07-22,93.76,0,0,0,1.0,28406.8
2016-07-23,95.09,1,0,0,0.0,31263.8
2016-07-24,91.53,0,1,0,0.0,28376.7
2016-07-25,90.97,0,0,0,0.0,26854.1
2016-07-26,90.14,0,0,0,0.0,29363.6
2016-07-27,89.82,0,0,0,0.0,29566.6
2016-07-28,91.44,0,0,0,0.0,30137.1
2016-07-29,84.05,0,0,0,0.0,30274.6
2016-07-30,82.85,1,0,0,0.0,27854.3
2016-07-31,78.16,0,1,0,0.0,24479.4
2016-08-01,77.83,0,0,0,0.0,22844.5
2016-08-02,76.59,0,0,0,0.0,25084.7
2016-08-03,79.67,0,0,0,0.0,24219.4
2016-08-04,80.91,0,0,0,0.0,25269.10000000001
2016-08-05,82.76,0,0,0,0.0,26393.9
2016-08-06,87.91,1,0,0,0.0,26926.2
2016-08-07,86.67,0,1,0,0.0,26033.4
2016-08-08,83.37,0,0,0,0.0,24471.9
2016-08-09,86.41,0,0,0,0.0,26600.000000000004
2016-08-10,86.51,0,0,0,0.0,27975.7
2016-08-11,92.6,0,0,0,1.0,29539.6
2016-08-12,94.1,0,0,0,1.0,32187.5
2016-08-13,95.4,1,0,0,0.0,31572.5
2016-08-14,94.34,0,1,0,0.0,30683.6
2016-08-15,89.94,0,0,0,0.0,29096.6
2016-08-16,88.0,0,0,0,0.0,30025.200000000004
2016-08-17,84.57,0,0,0,0.0,30416.5
2016-08-18,84.82,0,0,0,0.0,28127.099999999995
2016-08-19,86.06,0,0,0,0.0,27798.7
2016-08-20,84.48,1,0,0,0.0,28365.1
2016-08-21,86.0,0,1,0,0.0,25471.7
2016-08-22,78.53,0,0,0,0.0,24689.2
2016-08-23,81.11,0,0,0,0.0,23258.1
2016-08-24,86.08,0,0,0,0.0,23699.0
2016-08-25,84.91,0,0,0,0.0,26551.6
2016-08-26,90.44,0,0,0,0.0,26530.500000000004
2016-08-27,86.81,1,0,0,0.0,29625.300000000007
2016-08-28,86.07,0,1,0,0.0,25385.7
2016-08-29,89.63,0,0,0,0.0,25730.2
2016-08-30,83.33,0,0,0,0.0,28685.4
2016-08-31,85.64,0,0,0,0.0,26689.300000000007
2016-09-01,77.29,0,0,0,0.0,26697.8
2016-09-02,79.57,0,0,0,0.0,24056.099999999995
2016-09-03,74.59,1,0,0,0.0,22747.7
2016-09-04,79.48,0,1,0,0.0,19017.5
2016-09-05,82.88,0,0,1,0.0,19732.7
2016-09-06,79.06,0,0,0,0.0,21416.9
2016-09-07,83.29,0,0,0,0.0,24342.6
2016-09-08,87.86,0,0,0,0.0,26795.7
2016-09-09,89.83,0,0,0,0.0,29092.500000000004
2016-09-10,88.59,1,0,0,0.0,29726.4
2016-09-11,82.23,0,1,0,0.0,27529.9
2016-09-12,76.59,0,0,0,0.0,22256.10000000001
2016-09-13,80.28,0,0,0,0.0,22327.5
2016-09-14,89.36,0,0,0,0.0,23714.4
2017-06-16,66.88,0,0,0,0.0,22048.5
2017-06-17,72.02,1,0,0,0.0,20819.4
2017-06-18,84.63,0,1,0,0.0,20767.3
2017-06-19,86.56,0,0,0,0.0,23897.6
2017-06-20,84.01,0,0,0,0.0,26295.399999999994
2017-06-21,84.46,0,0,0,0.0,24367.6
2017-06-22,82.76,0,0,0,0.0,24255.099999999995
2017-06-23,82.97,0,0,0,0.0,24782.700000000004
2017-06-24,84.93,1,0,0,0.0,25986.099999999995
2017-06-25,82.69,0,1,0,0.0,22821.4
2017-06-26,78.41,0,0,0,0.0,21108.800000000007
2017-06-27,76.65,0,0,0,0.0,22182.7
2017-06-28,79.35,0,0,0,0.0,21381.2
2017-06-29,82.31,0,0,0,0.0,21773.5
2017-06-30,88.57,0,0,0,0.0,23383.0
2017-07-01,82.11,1,0,0,0.0,26110.1
2017-07-02,88.65,0,1,0,0.0,22931.8
2017-07-03,87.83,0,0,0,0.0,24026.5
2017-07-04,84.79,0,0,1,0.0,25323.5
2017-07-05,83.0,0,0,0,0.0,22096.8
2017-07-06,77.08,0,0,0,0.0,25575.0
2017-07-07,80.8,0,0,0,0.0,23894.0
2017-07-08,84.51,1,0,0,0.0,24056.000000000004
2017-07-09,82.14,0,1,0,0.0,22837.9
2017-07-10,83.94,0,0,0,0.0,21667.800000000007
2017-07-11,85.07,0,0,0,0.0,25282.9
2017-07-12,88.91,0,0,0,0.0,27191.0
2017-07-13,91.22,0,0,0,0.0,28612.800000000007
2017-07-14,72.81,0,0,0,0.0,28041.4
2017-07-15,83.99,1,0,0,0.0,22319.8
2017-07-16,84.74,0,1,0,0.0,22217.2
2017-07-17,83.69,0,0,0,0.0,23858.7
2017-07-18,86.56,0,0,0,0.0,27051.1
2017-07-19,91.83,0,0,0,1.0,28283.900000000005
2017-07-20,93.44,0,0,0,1.0,29801.2
2017-07-21,90.91,0,0,0,1.0,29463.9
2017-07-22,88.02,1,0,0,0.0,29726.9
2017-07-23,78.58,0,1,0,0.0,25008.4
2017-07-24,72.95,0,0,0,0.0,22759.9
2017-07-25,70.23,0,0,0,0.0,21797.5
2017-07-26,75.86,0,0,0,0.0,20044.3
2017-07-27,76.85,0,0,0,0.0,22003.7
2017-07-28,82.16,0,0,0,0.0,22537.2
2017-07-29,75.85,1,0,0,0.0,24504.800000000007
2017-07-30,80.84,0,1,0,0.0,19071.4
2017-07-31,87.5,0,0,0,0.0,21151.0
2017-08-01,88.66,0,0,0,0.0,26436.4
2017-08-02,84.89,0,0,0,0.0,28125.0
2017-08-03,84.53,0,0,0,0.0,26766.7
2017-08-04,84.47,0,0,0,0.0,27599.6
2017-08-05,79.06,1,0,0,0.0,26655.300000000007
2017-08-06,75.25,0,1,0,0.0,21131.500000000004
2017-08-07,68.05,0,0,0,0.0,19099.1
2017-08-08,78.53,0,0,0,0.0,21135.4
2017-08-09,83.04,0,0,0,0.0,22093.0
2017-08-10,83.87,0,0,0,0.0,24313.2
2017-08-11,80.64,0,0,0,0.0,25392.7
2017-08-12,77.19,1,0,0,0.0,23754.4
2017-08-13,83.0,0,1,0,0.0,21390.8
2017-08-14,80.53,0,0,0,0.0,22536.7
2017-08-15,74.15,0,0,0,0.0,24202.7
2017-08-16,85.04,0,0,0,0.0,23383.5
2017-08-17,80.66,0,0,0,0.0,25623.700000000004
2017-08-18,82.33,0,0,0,0.0,24716.6
2017-08-19,86.6,1,0,0,0.0,26386.4
2017-08-20,82.53,0,1,0,0.0,24146.3
2017-08-21,86.1,0,0,0,0.0,22953.5
2017-08-22,89.27,0,0,0,0.0,26941.2
2017-08-23,80.45,0,0,0,0.0,29029.0
2017-08-24,79.29,0,0,0,0.0,24071.0
2017-08-25,76.76,0,0,0,0.0,22139.3
2017-08-26,76.35,1,0,0,0.0,21259.9
2017-08-27,76.14,0,1,0,0.0,18792.3
2017-08-28,74.18,0,0,0,0.0,18647.6
2017-08-29,66.62,0,0,0,0.0,20659.300000000007
2017-08-30,77.97,0,0,0,0.0,19663.8
2017-08-31,80.26,0,0,0,0.0,20960.7
2017-09-01,70.27,0,0,0,0.0,21633.100000000006
2017-09-02,66.67,1,0,0,0.0,18502.5
2017-09-03,70.21,0,1,0,0.0,16769.3
2017-09-04,80.35,0,0,1,0.0,17141.3
2017-09-05,85.34,0,0,0,0.0,19463.4
2017-09-06,69.41,0,0,0,0.0,23954.8
2017-09-07,72.25,0,0,0,0.0,20528.5
2017-09-08,70.59,0,0,0,0.0,19714.0
2017-09-09,68.38,1,0,0,0.0,18826.0
2017-09-10,72.33,0,1,0,0.0,17020.300000000007
2017-09-11,76.7,0,0,0,0.0,17715.4
2017-09-12,79.47,0,0,0,0.0,19842.1
2017-09-13,80.7,0,0,0,0.0,20884.7
2017-09-14,80.27,0,0,0,0.0,21802.6
2018-06-16,82.6,1,0,0,0.0,20328.6
2018-06-17,87.83,0,1,0,0.0,20797.6
2018-06-18,90.13,0,0,0,0.0,23168.6
2018-06-19,86.98,0,0,0,0.0,28224.500000000004
2018-06-20,81.05,0,0,0,0.0,26214.7
2018-06-21,83.0,0,0,0,0.0,23667.9
2018-06-22,72.91,0,0,0,0.0,24333.0
2018-06-23,66.71,1,0,0,0.0,21531.4
2018-06-24,83.24,0,1,0,0.0,17901.8
2018-06-25,80.49,0,0,0,0.0,20626.3
2018-06-26,75.17,0,0,0,0.0,22374.4
2018-06-27,72.66,0,0,0,0.0,22024.1
2018-06-28,82.22,0,0,0,0.0,20996.2
2018-06-29,89.42,0,0,0,0.0,24747.4
2018-06-30,92.07,1,0,0,0.0,27484.7
2018-07-01,94.46,0,1,0,0.0,27467.500000000004
2018-07-02,92.85,0,0,0,0.0,29750.1
2018-07-03,90.48,0,0,0,0.0,31468.700000000004
2018-07-04,86.31,0,0,1,0.0,30617.4
2018-07-05,88.26,0,0,0,0.0,27171.7
2018-07-06,81.32,0,0,0,0.0,30595.5
2018-07-07,75.06,1,0,0,0.0,25371.2
2018-07-08,81.39,0,1,0,0.0,19887.6
2018-07-09,86.38,0,0,0,0.0,21874.2
2018-07-10,92.06,0,0,0,0.0,26866.1
2018-07-11,85.75,0,0,0,0.0,28687.5
2018-07-12,82.33,0,0,0,0.0,26673.9
2018-07-13,82.73,0,0,0,0.0,25664.9
2018-07-14,88.34,1,0,0,0.0,26379.80000000001
2018-07-15,83.35,0,1,0,0.0,25353.6
2018-07-16,89.22,0,0,0,0.0,25853.4
2018-07-17,86.75,0,0,0,0.0,30969.100000000013
2018-07-18,83.53,0,0,0,0.0,28651.3
2018-07-19,80.78,0,0,0,0.0,25102.2
2018-07-20,80.3,0,0,0,0.0,24615.200000000004
2018-07-21,75.52,1,0,0,0.0,25549.30000000001
2018-07-22,79.71,0,1,0,0.0,21046.6
2018-07-23,81.08,0,0,0,0.0,23384.80000000001
2018-07-24,82.9,0,0,0,0.0,27077.7
2018-07-25,78.8,0,0,0,0.0,28034.8
2018-07-26,85.78,0,0,0,0.0,25623.000000000004
2018-07-27,86.09,0,0,0,0.0,27845.000000000004
2018-07-28,84.42,1,0,0,0.0,27445.700000000004
2018-07-29,81.47,0,1,0,0.0,24280.9
2018-07-30,78.22,0,0,0,0.0,22844.7
2018-07-31,79.93,0,0,0,0.0,23699.8
2018-08-01,86.68,0,0,0,0.0,25742.200000000004
2018-08-02,85.5,0,0,0,0.0,27928.9
2018-08-03,83.79,0,0,0,0.0,28606.9
2018-08-04,86.2,1,0,0,0.0,27429.5
2018-08-05,89.9,0,1,0,0.0,25646.6
2018-08-06,91.43,0,0,0,0.0,27674.0
2018-08-07,88.82,0,0,0,0.0,31359.5
2018-08-08,89.62,0,0,0,0.0,30195.2
2018-08-09,88.3,0,0,0,0.0,29772.600000000013
2018-08-10,86.85,0,0,0,0.0,29318.7
2018-08-11,78.21,1,0,0,0.0,27551.4
2018-08-12,81.91,0,1,0,0.0,21845.7
2018-08-13,75.27,0,0,0,0.0,24134.3
2018-08-14,80.64,0,0,0,0.0,23793.0
2018-08-15,87.68,0,0,0,0.0,25733.0
